hostname,st_spectype,st_teff,st_lum,st_rad,spectral_class,log_temp
HD 27894,K2 V,4894.0,-0.409,0.89,K,3.6896639650157703
Kepler-1716,,4894.0,-0.624,0.68,,3.6896639650157703
Kepler-531,,4893.0,-0.552,0.75,,3.6895752157599384
HD 62509,K0IIIvar,4892.63,1.612,8.9,K,3.689542373938128
HD 100655,G9 III,4891.0,1.633,10.06,G,3.6893976628212823
HIP 75092,K0 III,4891.0,1.02,4.53,K,3.6893976628212823
HIP 67851,K0 III,4890.0,1.207,5.95,K,3.6893088591236203
14 And,K0 III,4888.0,1.84,11.55,K,3.689131197234498
nu Oph,K0 III,4887.0,1.895,12.24,K,3.689042339028172
Kepler-1544,,4886.0,-0.606,0.74,,3.688953462637418
HD 99283,K0 III,4886.0,1.81,11.21,K,3.688953462637418
HD 111591,K0 III,4884.0,1.581,8.03,K,3.688775655272845
Kepler-167,K4,4884.0,-0.539,0.75,K,3.688775655272845
TOI-1416,,4884.0,-0.46,0.79,,3.688775655272845
Kepler-975,,4883.0,-0.512,1.67,,3.6886867242841235
HIP 90988,K1 III,4883.0,0.89,3.94,K,3.6886867242841235
HD 125390,G7 III,4882.0,1.124,6.47,G,3.6885977750811696
HIP 35173,K2 V,4881.0,-0.514,0.77,K,3.6885088076565213
K2-39,,4881.0,0.674,2.97,,3.6885088076565213
Kepler-693,,4881.0,-0.427,0.72,,3.6885088076565213
Kepler-174,,4880.0,-0.57,0.62,,3.6884198220027105
K2-62,,4880.0,-0.781,0.73,,3.6884198220027105
K2-62,,4880.0,-0.727,0.73,,3.6884198220027105
gam Lib,K0 III,4879.0,1.897,12.38,K,3.688330818112266
HD 120084,G7 III,4879.0,1.738,10.37,G,3.688330818112266
HD 108863,K0,4878.0,1.225,5.74,K,3.688241795977712
K2-270,,4877.0,-0.558,0.77,,3.6881527555915663
eps Tau,K0 III,4877.0,1.893,12.35,K,3.6881527555915663
Kepler-1206,,4877.0,-0.62,0.75,,3.6881527555915663
K2-270,,4877.0,-0.518,0.77,,3.6881527555915663
HD 128356,K3 V,4875.0,-0.444,0.85,K,3.687974620034556
HD 27894,K2 V,4875.0,-0.449,0.89,K,3.687974620034556
11 Com,G8 III,4874.0,1.978,13.76,G,3.6878855248487055
HD 5319,G5,4871.0,0.15,4.06,G,3.68761812957177
Kepler-482,,4871.0,-0.539,0.72,,3.68761812957177
Kepler-659,,4870.0,-0.526,0.74,,3.6875289612146345
K2-8,K3 V,4870.0,-0.583,0.74,K,3.6875289612146345
K2-8,K3 V,4870.0,-0.553,0.74,K,3.6875289612146345
Kepler-1039,,4870.0,-0.649,0.74,,3.6875289612146345
Kepler-1223,,4870.0,-0.541,0.75,,3.6875289612146345
TOI-815,K3 V,4869.0,-0.505,0.77,K,3.6874397745458944
HD 40956,K0,4869.0,1.664,8.56,K,3.6874397745458944
Kepler-1076,,4868.0,-0.557,0.74,,3.6873505695580273
HD 75784,G5,4867.0,0.77,3.4,G,3.687261346243506
HD 75784,G5,4867.0,0.756,3.4,G,3.687261346243506
HD 16905,K3 V,4866.12,-0.518,0.77,K,3.6871828145609387
HD 47366,K1 III,4866.0,1.417,7.3,K,3.6871721045948
Kepler-1446,,4865.0,-0.651,0.75,,3.6870828446043706
BD+14 4559,K2 V,4864.0,-0.32,0.86,K,3.6869935662646784
EPIC 206317286,,4864.0,-0.593,0.67,,3.6869935662646784
HD 99706,K0,4862.0,1.302,5.4,K,3.6868149545073168
Kepler-1577,,4862.0,-0.607,0.74,,3.6868149545073168
HD 79181,G8 III,4862.0,1.79,11.06,G,3.6868149545073168
HD 99706,K0,4862.0,1.188,5.52,K,3.6868149545073168
Kepler-1315,,4861.0,-0.628,0.75,,3.686725621074542
Kepler-942,,4861.0,-0.585,0.75,,3.686725621074542
HD 33844,K0 III,4861.0,1.149,5.29,K,3.686725621074542
Kepler-237,,4861.0,-0.477,0.73,,3.686725621074542
HD 33844,K0 III,4861.0,1.183,5.39,K,3.686725621074542
HD 208897,K0,4860.0,1.09,4.98,K,3.6866362692622934
HD 158038,K0,4860.0,1.076,4.5,K,3.6866362692622934
nu Oct A,K1 IIIb-IV,4860.0,1.23,5.81,K,3.6866362692622934
Kepler-1731,,4859.0,-0.6,0.72,,3.686546899063006
Kepler-1953,,4858.0,-0.63,0.71,,3.6864575104691117
K2-339,,4857.0,-0.652,0.72,,3.6863681034730362
Kepler-1362,,4857.0,-0.601,0.74,,3.6863681034730362
HD 2952,K0 III,4853.0,1.768,10.9,K,3.6860102913152857
HD 167768,G8 III,4851.0,1.669,9.7,G,3.6858312746260635
HD 156668,K2,4850.0,0.23,0.72,K,3.6857417386022635
Kepler-1140,,4850.0,-0.566,0.73,,3.6857417386022635
HIP 74890,K1 III,4850.0,1.215,5.77,K,3.6857417386022635
TOI-431,,4850.0,-0.565,0.73,,3.6857417386022635
HD 185283,K3 V,4848.0,-0.561,0.74,K,3.68556261115823
Kepler-842,,4848.0,-0.612,0.73,,3.68556261115823
Kepler-1848,,4847.0,-0.513,0.74,,3.6854730197227594
8 UMi,K0,4847.0,1.725,10.3,K,3.6854730197227594
HD 131496,K0,4846.0,0.991,4.44,K,3.6853834098014873
HD 27442,K1/2III,4846.0,0.851,3.18,K,3.6853834098014873
HD 29399,K1 III,4845.0,1.002,4.5,K,3.6852937813867843
K2-385,,4844.0,-0.519,0.76,,3.6852041344710145
HD 69123,K1 III,4842.0,1.47,7.72,K,3.685024785105714
K2-162,,4842.0,-0.657,0.69,,3.685024785105714
HD 206610,K0 III,4842.0,1.276,6.12,K,3.685024785105714
xi Aql,K0 III,4841.0,1.767,10.86,K,3.6849350826408895
Kepler-687,,4841.0,-0.567,0.73,,3.6849350826408895
K2-275,,4841.0,-0.609,0.69,,3.6849350826408895
Kepler-56,,4840.0,0.905,4.23,,3.6848453616444123
HD 10975,K0 III,4840.0,1.79,11.16,K,3.6848453616444123
K2-132,,4840.0,0.943,3.85,,3.6848453616444123
kap CrB,K0 III-IV,4840.0,1.036,4.68,K,3.6848453616444123
Kepler-1363,,4839.0,-0.626,0.72,,3.684755622108624
Kepler-786,,4838.0,-0.583,0.74,,3.684665864025861
HD 153557,K0,4837.0,-0.562,0.75,K,3.6845760873884554
HD 114386,K3V,4836.0,-0.54,0.76,K,3.6844862921887342
ups Leo,G9 III,4836.0,1.8,11.22,G,3.6844862921887342
HIP 35965,,4836.0,-0.62,0.7,,3.6844862921887342
Kepler-900,,4836.0,-0.608,0.73,,3.6844862921887342
HD 12648,G5,4835.0,1.753,11.02,G,3.6843964784190204
Kepler-951,,4834.0,-0.642,0.73,,3.6843066460716316
Kepler-411,K2 V,4832.69,-0.584,0.82,K,3.6841889375747674
HD 219139,G5 III,4831.0,1.795,11.22,G,3.6840370374865197
HD 102329,K0 III,4830.0,1.585,6.3,K,3.683947130751512
HD 5583,,4830.0,1.61,9.09,,3.683947130751512
HIP 63242,G8,4830.0,1.63,10.28,G,3.683947130751512
Kepler-935,,4830.0,-0.639,0.73,,3.683947130751512
KIC 3526061,,4829.0,1.215,5.86,,3.6838572054003462
Kepler-547,,4828.0,-0.555,0.73,,3.6837672614253116
Kepler-1459,,4828.0,-0.523,0.74,,3.6837672614253116
7 CMa,K1III(+M),4826.0,1.063,4.87,K,3.683587317572767
7 CMa,K1 III,4826.0,1.063,4.87,K,3.683587317572767
Kepler-1846,,4825.0,-0.53,0.73,,3.6834973176798114
HD 145934,K0,4823.75,1.355,6.93,K,3.683384791579453
K2-378,,4823.0,-0.567,0.73,,3.6833172619218826
HIP 114933,K0 III,4823.0,1.14,5.27,K,3.6833172619218826
Kepler-1853,,4821.0,-0.562,0.79,,3.683137131483007
Kepler-1834,,4821.0,-0.577,0.79,,3.683137131483007
TOI-1301,,4820.4,-0.599,0.73,,3.683083077779296
HD 219415,K0 III,4820.0,0.62,2.9,K,3.6830470382388496
Kepler-56,,4819.44,0.905,4.22,,3.682996577857305
HD 116029,K0,4819.0,1.053,4.89,K,3.6829569263012085
HD 207496,K2.5 V,4819.0,-0.509,0.77,K,3.6829569263012085
Kepler-1315,,4818.0,-0.628,0.86,,3.6828667956623247
Kepler-304,,4817.0,-0.662,0.73,,3.682776646314434
Kepler-1320,,4817.0,-0.729,0.74,,3.682776646314434
BD-08 2823,K3 V,4816.0,-0.626,0.71,K,3.682686478249768
24 Boo,G3 IV,4816.0,1.877,12.19,G,3.682686478249768
HD 14067,G9 III,4815.0,1.898,12.4,G,3.6825962914605532
Kepler-1042,,4815.0,-0.6,0.72,,3.6825962914605532
HIP 5158,,4813.0,-0.561,0.75,,3.6824158616773586
K2-281,,4812.0,-0.647,0.76,,3.6823256186678073
HD 63454,K4 V,4812.0,-0.592,0.77,K,3.6823256186678073
75 Cet,G3 III,4809.0,1.714,10.38,G,3.6820547770738075
HD 5608,K0 IV,4807.0,1.155,5.43,K,3.681874122128647
Kepler-1653,,4807.0,-0.636,0.69,,3.681874122128647
HD 222076,K0 III,4806.0,0.929,4.1,K,3.6817837664678814
Kepler-1849,,4806.0,-0.662,0.73,,3.6817837664678814
TYC 1422-614-1,,4806.0,1.35,6.85,,3.6817837664678814
Kepler-1977,,4805.0,-0.694,0.69,,3.681693392004564
HD 86950,K1 III,4805.0,1.56,8.8,K,3.681693392004564
TOI-1180,,4804.0,-0.634,0.74,,3.6816029987308685
Kepler-1964,,4803.0,-0.631,0.7,,3.681512586638962
HAT-P-18,K2,4803.0,-0.569,0.75,K,3.681512586638962
HATS-22,K V,4803.0,-0.646,0.69,K,3.681512586638962
HD 20868,K3/4 IV,4802.0,-0.529,0.76,K,3.6814221557210085
TOI-2374,,4802.0,-0.52,0.69,,3.6814221557210085
HD 4917,K0 III/IV,4802.0,1.456,5.01,K,3.6814221557210085
K2-346,,4801.0,-0.663,0.7,,3.681331705969166
WASP-29,,4800.0,-0.525,0.79,,3.681241237375587
TOI-2669,,4800.0,0.906,4.1,,3.681241237375587
WASP-11,K3 V,4800.0,0.0,0.89,K,3.681241237375587
HIP 54597,K5 V,4799.0,-0.682,0.66,K,3.681150749932421
HD 94834,K0,4798.0,0.993,4.2,K,3.6810602436318116
HD 81688,K0 III-IV,4797.0,1.78,11.13,K,3.680969718465897
BD+15 2940,K0,4796.0,2.01,14.7,K,3.6808791744268112
Kepler-1430,,4796.0,-0.816,0.72,,3.6808791744268112
HD 103949,K3 V,4792.0,-0.569,0.75,K,3.680516809381255
HD 233604,K5,4791.0,1.75,10.9,K,3.680426170858145
Kepler-1899,,4791.0,-0.672,0.74,,3.680426170858145
HD 102272,K0,4790.0,1.662,10.3,K,3.680335513414563
OGLE-TR-113,K4 V,4790.0,-0.529,0.77,K,3.680335513414563
Kepler-1788,,4786.0,-0.611,0.7,,3.6799726942774185
HD 161178,G9 III,4786.0,1.751,10.95,G,3.6799726942774185
Kepler-99,,4782.0,-0.585,0.73,,3.679609571779756
Kepler-1110,,4781.0,-0.637,0.7,,3.6795187436957892
Kepler-94,M0 V,4781.0,-0.613,0.76,M,3.6795187436957892
Kepler-94,M0 V,4781.0,-0.597,0.76,M,3.6795187436957892
HIP 105854,K2 III,4780.0,1.67,10.31,K,3.6794278966121188
TOI-2337,,4780.0,0.689,3.22,,3.6794278966121188
Kepler-660,,4779.0,-0.626,0.71,,3.6793370305207937
TYC 3318-01333-1,,4776.0,1.21,5.9,,3.6790643181213127
Kepler-1324,,4776.0,-0.673,0.73,,3.6790643181213127
Kepler-1353,,4776.0,-0.615,0.72,,3.6790643181213127
gam Cep,K1 III-IV,4775.0,1.073,4.74,K,3.678973375919765
TOI-1259 A,,4775.0,-0.59,0.71,,3.678973375919765
Kepler-1418,,4770.0,-0.616,0.72,,3.678518379040114
HD 360,G8 III,4770.0,1.742,10.86,G,3.678518379040114
omi CrB,K0 III,4769.0,1.822,11.87,K,3.6784273224338673
HD 238914,K7,4769.0,1.85,12.73,K,3.6784273224338673
HIP 56640,K1 III,4769.0,1.05,4.93,K,3.6784273224338673
Kepler-1987,,4769.0,-0.616,0.71,,3.6784273224338673
TOI-1811,,4766.0,-0.56,0.77,,3.678154038010437
HD 25723,K1 III,4766.0,1.944,13.76,K,3.678154038010437
K2-16,K3 V,4761.0,-0.761,0.54,K,3.6776981814745104
eps Ind A,K5 V,4760.0,-0.622,0.68,K,3.677606952720493
Kepler-533,,4758.0,-0.62,0.72,,3.6774244377012475
HD 145457,K0,4757.0,1.655,9.9,K,3.677333151419902
HD 15906,K V,4757.0,-0.569,0.76,K,3.677333151419902
TOI-2194,,4756.0,-0.69,0.69,,3.677241845946654
Kepler-960,,4755.0,-0.629,0.72,,3.6771505212734326
Kepler-1150,,4754.0,-0.666,0.72,,3.6770591773921613
EPIC 206317286,,4752.0,-0.593,0.76,,3.6768764319731373
HD 222237,K3 V,4751.0,-0.666,0.71,K,3.6767850304192056
Kepler-866,,4751.0,-0.705,0.71,,3.6767850304192056
HD 112570,K0 III,4750.0,1.647,9.85,K,3.6766936096248664
YSES 2,K1 V,4749.0,-0.185,1.19,K,3.6766021695820186
Kepler-892,,4747.0,-0.735,0.72,,3.67641923171836
BD-08 2823,K3 V,4746.0,-0.626,0.72,K,3.6763277338813203
K2-68,,4746.0,-0.673,0.68,,3.6763277338813203
HD 102329,K0 III,4745.0,1.292,9.82,K,3.6762362167633116
K2-16,K3 V,4742.0,-0.761,0.66,K,3.675961549642169
gam Psc,G7 III,4742.0,1.766,11.2,G,3.675961549642169
IC 4651 9122,,4740.1,1.636,10.27,,3.6757875039082792
K2-119,,4740.0,-0.685,0.71,,3.6757783416740852
Kepler-785,,4739.0,-0.683,0.71,,3.675686708699401
HD 104985,G9 III,4738.0,1.77,11.12,G,3.6755950563867463
Kepler-1630,,4736.0,-0.646,0.63,,3.6754116937148633
81 Cet,G5 III,4734.0,1.76,11.21,G,3.675228253593064
TOI-1064,,4734.0,-0.623,0.73,,3.675228253593064
Kepler-304,,4731.0,-0.662,0.69,,3.674952948048565
Kepler-1190,,4730.0,-0.727,0.72,,3.6748611407378116
HD 218566,K3V,4730.0,-0.452,0.85,K,3.6748611407378116
NGTS-6,,4730.0,-0.592,0.75,,3.6748611407378116
K2-118,,4726.29,-0.561,0.73,,3.674520365949701
Kepler-1465,,4726.0,-0.652,0.71,,3.6744937172963503
HD 96992,K0,4725.0,1.47,7.43,K,3.674401812845282
Kepler-113,,4725.0,-0.576,0.69,,3.674401812845282
ome Ser,G8 III,4724.0,1.734,10.99,G,3.6743098889414774
Kepler-1754,,4723.0,-0.612,0.75,,3.6742179455767
HD 162020,K3 V,4723.0,-0.602,0.75,K,3.6742179455767
Kepler-443,,4723.0,-0.664,0.71,,3.6742179455767
TOI-1244,,4722.0,-0.679,0.72,,3.674125982742708
K2-209,,4720.0,-0.588,0.71,,3.6739419986340875
Wolf 503,K3.5 V,4716.0,-0.676,0.69,K,3.6735737964230517
K2-228,,4715.0,-0.849,0.65,,3.6734816970733473
BD-17 63,K5 V,4714.0,-0.678,0.74,K,3.673389578188305
WASP-132,K4,4714.0,-0.597,0.75,K,3.673389578188305
Kepler-309,M0 V,4713.0,-0.574,0.72,M,3.6732974397596356
Kepler-1492,,4712.0,-0.754,0.72,,3.6732052817790453
WD 1856+534,,4710.0,-4.12,0.01,,3.673020907128896
Kepler-367,,4710.0,-0.617,0.7,,3.673020907128896
Kepler-383,,4710.0,-0.698,0.67,,3.673020907128896
Kepler-1359,,4709.0,-0.717,0.72,,3.6729286904427223
HIP 8541,K2 III/ IV,4708.93,1.309,6.78,K,3.672922234541323
Kepler-1197,,4708.0,-0.666,0.72,,3.672836454171397
Kepler-1684,,4706.54,-0.707,0.67,,3.6727017540270115
HD 125271,,4703.93,-0.604,0.75,,3.6724608503044913
Kepler-1845,,4703.0,-0.578,0.7,,3.6723749787460793
Kepler-1874,,4701.0,-0.577,0.78,,3.6721902511882525
Kepler-928,,4700.0,-0.719,0.7,,3.6720978579357175
HD 139357,K4 III,4700.0,1.823,11.47,K,3.6720978579357175
Kepler-413,,4700.0,-0.43,0.78,,3.6720978579357175
WASP-69,K5,4700.0,-0.468,0.86,K,3.6720978579357175
HD 219134,K3 V,4699.0,-0.577,0.78,K,3.672005445022952
Kepler-241,,4699.0,-0.607,0.67,,3.672005445022952
K2-102,K5,4695.0,-0.657,0.71,K,3.6716355966021297
Kepler-1146,,4692.0,-0.642,0.7,,3.671358003443492
HD 125595,K4 V,4691.0,-0.617,0.74,K,3.6712654329471586
K2-121,,4690.0,-0.745,0.67,,3.6711728427150834
Kepler-913,,4687.0,-0.282,0.61,,3.67089495352021
Kepler-436,,4685.0,-0.731,0.71,,3.670709595223797
EPIC 212737443,K3,4684.0,-0.751,0.67,K,3.6706168864003255
EPIC 212737443,K3,4684.0,-0.804,0.67,K,3.6706168864003255
HD 23472,K4 V,4684.0,-0.625,0.71,K,3.6706168864003255
HD 164604,K3.5 V,4684.0,-0.588,0.77,K,3.6706168864003255
HD 173416,G8,4683.0,1.892,13.5,G,3.6705241577820797
Kepler-1697,,4681.53,-0.588,0.77,,3.670387810759081
Kepler-1157,,4679.0,-0.675,0.71,,3.67015304519218
TYC 0434-04538-1,,4679.0,1.67,9.99,,3.67015304519218
HD 29985,,4678.0,-0.846,0.57,,3.670060217473134
Kepler-1520,,4677.0,-0.673,0.71,,3.669967369908504
K2-255,,4676.0,-0.79,0.69,,3.6698745024898023
WASP-10,K5 V,4675.0,-0.64,0.7,K,3.6697816152085365
K2-81,,4674.13,-0.569,0.63,,3.669700787110019
HD 5891,G5,4673.0,1.595,10.64,G,3.6695957810243134
Kepler-925,,4673.0,-0.684,0.72,,3.6695957810243134
Kepler-543,,4671.0,-0.643,0.67,,3.669409867287783
HIP 8541,K2 III/ IV,4670.0,1.405,7.83,K,3.6693168805661123
Kepler-202,,4668.0,-0.638,0.67,,3.6691308473733324
K2-247,,4667.0,-0.882,0.69,,3.669037800885156
91 Aqr,K0 III,4665.0,1.692,11.0,K,3.668851648082519
HD 76920,K1 III,4664.0,1.47,8.33,K,3.668758541750958
K2-368,,4663.0,-0.693,0.66,,3.668665415454492
Kepler-1341,,4662.0,-0.638,0.72,,3.668572269184558
Kepler-378,,4661.0,-0.655,0.67,,3.6684791029325856
Kepler-114,M0 V,4660.0,-0.685,0.54,M,3.66838591669
NGTS-21,K3 V,4660.0,-0.539,0.86,K,3.66838591669
HD 59686 A,K2 III,4658.0,1.822,13.2,K,3.668199484198662
Kepler-1868,,4658.0,-0.662,0.69,,3.668199484198662
HATS-72,,4656.1,-0.659,0.72,,3.6680222991722906
Kepler-615,,4655.0,-0.695,0.69,,3.6679196853173615
HAT-P-11,K4,4653.0,-0.567,0.68,K,3.667733052533267
HAT-P-11,K4,4653.0,-0.564,0.68,K,3.667733052533267
Kepler-808,,4653.0,-0.684,0.71,,3.667733052533267
Kepler-1048,,4651.0,-0.409,0.7,,3.6675463395115164
Kepler-436,,4651.0,-0.701,0.7,,3.6675463395115164
HAT-P-12,K4,4650.0,-0.678,0.7,K,3.667452952889954
BD+15 2375,G5,4649.0,1.57,8.95,G,3.667359546183087
Kepler-354,,4648.0,-0.714,0.67,,3.6672661193822744
Kepler-83,M0 V,4648.0,-1.102,0.59,M,3.6672661193822744
Kepler-1032,,4647.0,-0.655,0.71,,3.6671726724788685
Qatar-2,,4645.0,-0.683,0.78,,3.6669857183296606
Kepler-1058,,4644.0,-0.316,0.69,,3.666892211066536
K2-97,,4642.6,0.919,4.2,,3.6667612670656595
Kepler-742,,4642.0,-0.692,0.71,,3.666705136119899
GJ 143,K4.5,4640.0,-0.686,0.7,K,3.6665179805548807
HIP 57274,K4 V,4640.0,0.19,0.68,K,3.6665179805548807
HD 216536,K0,4639.0,1.8,9.83,K,3.6664243725187595
TOI-1410,,4635.0,-0.622,0.76,,3.666049738480516
Kepler-1688,,4632.11,-0.636,0.75,,3.6657788641532685
Kepler-220,,4632.0,-0.676,0.67,,3.66576855071938
Kepler-1265,,4630.0,-0.7,0.69,,3.6655809910179533
K2-254,,4629.0,-0.822,0.67,,3.6654871807828107
Kepler-159,M0 V,4625.0,-0.754,0.66,M,3.6651117370750512
Kepler-158,K,4623.0,-0.757,0.62,K,3.6649238934380817
TOI-712,K4.5 V,4622.0,-0.728,0.67,K,3.6648299411430907
TAP 26,,4620.0,-0.25,1.17,,3.6646419755561257
TOI-1184,,4617.0,-0.739,0.7,,3.664359874551141
K2-42,,4613.0,-0.703,0.64,,3.6639834546082666
Kepler-1200,,4612.0,-0.689,0.7,,3.6638892986226614
Kepler-1246,,4611.0,-0.727,0.69,,3.6637951222194074
HD 190007,K4 V,4610.0,-0.68,0.79,K,3.663700925389648
Kepler-114,M0 V,4605.0,-0.685,0.67,M,3.663229634532868
K2-379,,4603.0,-0.633,0.75,,3.663040974893974
Kepler-1526,,4601.0,-0.707,0.69,,3.6628522332647964
TOI-824,K4 V,4600.0,-0.71,0.7,K,3.662757831681574
NGTS-10,K5 V,4600.0,-0.757,0.7,K,3.662757831681574
K2-347,,4599.0,-0.894,0.63,,3.6626634095740376
Kepler-968,,4598.0,-0.763,0.7,,3.6625689669332604
Kepler-1318,,4598.0,-0.73,0.7,,3.6625689669332604
Kepler-1062,,4597.0,-0.682,0.7,,3.6624745037503095
HD 127506,K3V,4595.32,-0.663,0.74,K,3.662315759333727
HAT-P-20,K3,4595.0,-0.721,0.69,K,3.66228551572213
HD 48948,K3 V,4593.0,-0.789,0.68,K,3.6620964454179235
Wendelstein-2,K6 V,4591.0,-0.834,0.66,K,3.6619072927660206
HIP 65 A,K4 V,4590.0,-0.678,0.72,K,3.661812685537261
TOI-5704,,4590.0,-0.639,0.76,,3.661812685537261
Kepler-1007,,4587.0,-0.568,0.7,,3.6615287401319825
Kepler-1579,,4584.0,-0.94,0.7,,3.6612446089593336
HD 32518,K1 III,4580.0,1.666,10.22,K,3.660865478003869
TOI-2134,K5 V,4580.0,-0.717,0.71,K,3.660865478003869
Kepler-1996,,4580.0,-0.657,0.68,,3.660865478003869
K2-127,,4575.0,-0.254,0.66,,3.6603910984024672
TYC 8998-760-1,K3 IV,4573.0,-0.339,0.95,K,3.6602012013806817
TYC 8998-760-1,K3 IV,4573.0,-0.367,0.95,K,3.6602012013806817
K2-141,K7 V,4570.0,-0.75,0.68,K,3.6599162000698504
TOI-139,,4570.0,-0.778,0.7,,3.6599162000698504
Kepler-210,M0 V,4559.0,-0.799,0.65,M,3.6588695922019623
K2-338,,4558.0,-0.836,0.63,,3.6587743208443566
Kepler-398,,4557.0,-0.811,0.67,,3.6586790285824486
HD 108202,K4/5 V,4556.03,-0.767,0.66,K,3.6585865751067033
Kepler-834,,4554.0,-0.745,0.66,,3.658393026279124
alf Ari,K2III,4553.0,1.934,13.9,K,3.6582976503081897
TOI-836,K V,4552.0,-0.853,0.67,K,3.6582022533870147
Kepler-437,,4551.0,-0.762,0.68,,3.658106835506393
Kepler-91,K3,4550.0,1.225,6.3,K,3.6580113966571126
BD-11 4672,K7V,4550.0,-0.804,0.64,K,3.6580113966571126
BD-11 4672,K7 V,4550.0,-0.804,0.64,K,3.6580113966571126
HATS-48 A,,4546.0,-0.709,0.72,,3.657629431388952
BD-13 2130,G5 IV/V,4545.0,2.043,19.17,G,3.657533887557986
Kepler-1540,,4540.0,-0.818,0.69,,3.6570558528571038
Kepler-80,K5,4540.0,-0.77,0.68,K,3.6570558528571038
mu Leo,K2 III,4538.2,1.797,11.4,K,3.6568836314745234
BD+48 740,K3 III,4534.0,1.64,10.33,K,3.6564815157904986
Kepler-1053,,4529.0,-0.895,0.69,,3.656002320682957
Kepler-1450,,4524.0,-0.768,0.68,,3.6555225962534177
Kepler-1337,,4523.0,-0.742,0.67,,3.6554265877459184
Kepler-1938,,4522.0,-0.65,0.66,,3.6553305580093407
Kepler-621,,4521.0,-0.759,0.68,,3.655234507034294
EPIC 201757695,,4520.0,-0.364,0.66,,3.655138434811382
HATS-47,,4512.0,-0.796,0.66,,3.654369090975286
Kepler-1136,,4512.0,-0.853,0.68,,3.654369090975286
HD 73583,K4 V,4511.0,-0.744,0.65,K,3.6542728270977105
HIP 57274,K4 V,4510.0,0.19,0.78,K,3.6541765418779604
HAT-P-68,K,4508.0,-0.803,0.67,K,3.653983907374069
Kepler-155,M0 V,4508.0,-1.21,0.62,M,3.653983907374069
Kepler-1331,,4508.0,-0.909,0.69,,3.653983907374069
iot Dra,K2 III,4504.0,1.722,11.79,K,3.65359838184329
Kepler-345,,4504.0,-0.495,0.62,,3.65359838184329
Kepler-55,,4503.0,-0.763,0.62,,3.653501946962933
K2-216,K5 V,4503.0,-0.721,0.72,K,3.653501946962933
HD 285507,K4.5 V,4503.0,-0.719,0.69,K,3.653501946962933
Kepler-1795,,4500.0,-0.757,0.69,,3.6532125137753435
K2-136,K5.5,4500.0,-0.777,0.68,K,3.6532125137753435
Kepler-1329,,4500.0,-0.771,0.69,,3.6532125137753435
Kepler-81,M0 V,4500.0,-0.889,0.59,M,3.6532125137753435
Kepler-28,M0 V,4499.3,-0.745,0.66,M,3.6531449516009644
Kepler-388,,4498.0,-0.439,0.59,,3.6530194510996132
HIP 948,,4497.0,-0.758,0.69,,3.652922887567942
Kepler-398,,4493.0,-0.811,0.61,,3.6525364185930256
K2-199,,4491.0,-0.733,0.68,,3.652343055062715
Kepler-26,M0 V,4486.0,-1.06,0.57,M,3.651859269246949
K2-90,,4484.0,-0.953,0.62,,3.6516656039229356
Kepler-661,,4483.0,-0.814,0.67,,3.651568738865792
K2-381,,4473.0,-0.739,0.68,,3.650598898172657
K2-128,,4469.51,-0.822,0.78,,3.6502599132973157
Kepler-298,,4465.0,-0.733,0.58,,3.649821463224565
HD 113538,K9 V,4462.0,-1.046,0.53,K,3.649529565947819
K2-156,,4460.0,-0.838,0.62,,3.649334858712142
K2-55,,4456.0,-0.784,0.63,,3.6489451821656727
K2-174,,4455.0,-0.808,0.68,,3.6488477083728936
Kepler-16,,4450.0,-0.903,0.65,,3.6483600109809315
HD 110014,K2 III,4445.0,2.304,20.9,K,3.6478717653062325
Kepler-1022,,4445.0,-0.858,0.68,,3.6478717653062325
K2-295,K5 V,4444.0,-0.716,0.7,K,3.64777405026883
TOI-500,K6 V,4440.0,-0.7,0.68,K,3.6473829701146196
Kepler-1351,,4439.0,-0.983,0.67,,3.6472851450253665
Kepler-801,,4435.0,-0.798,0.63,,3.646893624167745
TOI-969,K V,4435.0,-0.7,0.67,K,3.646893624167745
K2-57,,4434.0,-0.83,0.67,,3.6467956887784694
Kepler-1536,,4434.0,-0.822,0.67,,3.6467956887784694
Kepler-1019,,4433.0,-0.806,0.67,,3.6466977312993345
K2-85,,4427.0,-0.812,0.68,,3.6461095219788477
WASP-107,K6,4425.0,-0.811,0.66,K,3.6459132750338443
Kepler-1460,,4422.0,-0.844,0.67,,3.6456187382426952
K2-90,,4421.98,-0.968,0.63,,3.645616773993649
4 UMa,K1 III,4415.0,2.062,18.11,K,3.6449307079135873
BD+48 738,K0 III,4414.0,1.69,11.0,K,3.644832328825636
Kepler-968,,4413.0,-0.763,0.67,,3.6447339274471924
Kepler-1378,,4407.0,-0.903,0.67,,3.644143050509919
eps CrB,K2 III,4406.0,2.235,21.0,K,3.6440444928147486
Kepler-1999,,4406.0,-0.773,0.63,,3.6440444928147486
HATS-49,,4405.0,-0.785,0.7,,3.643945912748067
CT Cha,K5e,4403.0,-0.102,1.68,K,3.6437486854595256
K2-35,K4 V,4402.71,-0.803,0.62,K,3.643720080066026
K2-35,K4 V,4402.71,-0.719,0.62,K,3.643720080066026
TOI-1683,,4402.0,-0.787,0.7,,3.6436500382173294
Kepler-442,,4402.0,-0.932,0.6,,3.6436500382173294
POTS-1,K5 V,4400.0,-1.087,0.59,K,3.6434526764861874
WASP-43,K7 V,4400.0,-0.825,0.6,K,3.6434526764861874
