hostname,st_spectype,st_teff,st_lum,st_rad,spectral_class,log_temp
HD 108147,F8 V CH+0.4,6255.73,0.303,1.21,F,3.7962779961194766
HD 13908,F8 V,6255.0,0.602,1.67,F,3.796227314029439
HD 62364,F7 V,6255.0,0.433,1.4,F,3.796227314029439
TOI-150,F,6255.0,0.497,1.53,F,3.796227314029439
CoRoT-5,F9 V,6254.0,0.18,1.11,F,3.796157876906914
HD 196885 A,F8 V,6254.0,0.38,1.31,F,3.796157876906914
HD 73344,F6 V,6252.6,0.262,1.22,F,3.7960606462803326
WASP-136,,6250.0,0.823,2.39,,3.7958800173440754
WASP-61,,6250.0,0.425,1.55,,3.7958800173440754
WASP-72,F7,6250.0,0.724,2.18,F,3.7958800173440754
Kepler-182,,6250.0,0.344,1.15,,3.7958800173440754
TOI-2046,F8 V,6250.0,0.28,1.21,F,3.7958800173440754
TOI-628,,6250.0,0.394,1.34,,3.7958800173440754
WTS-1,F6 V,6250.0,0.088,1.15,F,3.7958800173440754
XO-7,,6250.0,0.431,1.48,,3.7958800173440754
HD 33564,F6 V,6250.0,0.535,1.44,F,3.7958800173440754
Kepler-1165,,6249.0,0.552,1.08,,3.7958105246674085
Kepler-359,,6248.0,-0.097,1.09,,3.7957410208692437
TOI-2236,,6248.0,0.533,1.57,,3.7957410208692437
Kepler-1100,,6247.0,0.088,1.34,,3.7956715059460215
Kepler-1916,,6246.0,0.214,1.09,,3.7956019798941796
HD 60532,F6 IV,6245.0,1.001,2.57,F,3.7955324427101544
HD 142,G1 IV,6245.0,0.474,1.47,G,3.7955324427101544
HD 142,F7V,6245.0,0.474,1.47,F,3.7955324427101544
Kepler-1797,,6244.0,0.062,1.01,,3.79546289439038
TOI-1898,,6241.0,0.551,1.61,,3.7952541825808828
Kepler-1293,,6241.0,0.604,1.28,,3.7952541825808828
Kepler-1603,,6241.0,0.706,1.31,,3.7952541825808828
HD 212301,F8 V,6239.0,0.243,1.16,F,3.7951149856303634
Kepler-126,,6239.0,0.452,1.36,,3.7951149856303634
HD 155193,F8 IV,6239.0,0.641,1.76,F,3.7951149856303634
Kepler-999,,6237.0,0.538,1.65,,3.794975744051132
TOI-1836,,6237.0,0.585,1.63,,3.794975744051132
KELT-16,F7 V,6236.0,0.401,1.36,F,3.794906106516804
Kepler-506,,6236.0,0.288,1.19,,3.794906106516804
GJ 504,G0 V,6234.0,0.332,1.26,G,3.794766797940821
K2-330,,6232.0,0.477,1.5,,3.794627444664508
Kepler-1121,,6231.0,0.475,1.59,,3.7945577512547617
WASP-62,,6230.0,0.346,1.23,,3.7944880466591697
Kepler-910,,6230.0,0.494,1.5,,3.7944880466591697
Kepler-1501,,6229.0,0.202,1.3,,3.794418330874141
WASP-175,F7,6229.0,0.789,1.2,F,3.794418330874141
Kepler-758,,6228.0,0.563,1.42,,3.7943486038960827
Kepler-1580,,6228.0,0.926,2.15,,3.7943486038960827
Kepler-1280,,6227.0,0.679,1.32,,3.7942788657214
HIP 41378,F6,6226.0,0.396,1.35,F,3.7942091163464964
Kepler-50,,6225.0,0.536,1.58,,3.794139355767774
Kepler-798,,6224.0,0.222,1.29,,3.7940695839816323
Kepler-1527,,6224.0,0.482,1.32,,3.7940695839816323
Kepler-234,,6224.0,0.24,1.11,,3.7940695839816323
TOI-6029,,6223.0,0.799,2.34,,3.7939998009844706
K2-335,,6222.0,0.395,1.33,,3.7939300067726847
Kepler-1279,,6221.0,0.693,1.33,,3.7938602013426697
Kepler-65,,6220.0,0.451,1.44,,3.7937903846908188
TOI-4406,,6219.0,0.362,1.29,,3.7937205568135233
WASP-150,F8,6218.0,0.558,1.65,F,3.793650717707173
HD 10647,F9 V,6218.0,0.149,1.1,F,3.793650717707173
Kepler-1159,,6217.0,0.298,1.28,,3.793580867368156
K2-99,G0 IV,6217.0,0.961,2.63,G,3.793580867368156
Kepler-1658,,6216.0,1.206,2.89,,3.793511005792858
HD 214823,G0,6215.0,0.638,2.04,G,3.7934411329776636
Kepler-1997,,6215.0,0.132,1.05,,3.7934411329776636
Kepler-1913,,6214.0,-0.055,1.08,,3.7933712489189557
HATS-55,,6214.0,0.229,1.13,,3.7933712489189557
Kepler-1475,,6214.0,0.254,1.28,,3.7933712489189557
Kepler-1774,,6214.0,0.19,1.12,,3.7933712489189557
Kepler-1592,,6213.0,0.507,1.28,,3.793301353613115
Kepler-8,,6213.0,0.605,1.49,,3.793301353613115
Kepler-864,,6213.0,0.208,1.2,,3.793301353613115
Kepler-1715,,6212.0,0.417,1.21,,3.7932314470565207
TOI-5232,,6212.0,0.713,1.79,,3.7932314470565207
psi1 Dra B,G0 V,6212.0,0.326,1.26,G,3.7932314470565207
HAT-P-60,,6212.0,0.809,2.2,,3.7932314470565207
Kepler-65,,6211.0,0.467,1.41,,3.793161529245551
Kepler-1209,,6210.0,0.343,1.38,,3.79309160017658
OGLE-TR-132,F5 V,6210.0,0.371,1.32,F,3.79309160017658
Kepler-1647,,6210.0,0.644,1.79,,3.79309160017658
HD 86264,F7 V,6210.0,0.66,1.88,F,3.79309160017658
K2-269,,6209.0,0.468,1.45,,3.793021659845983
Kepler-366,,6209.0,0.573,1.05,,3.793021659845983
Kepler-1054,,6209.0,0.369,1.34,,3.793021659845983
Kepler-403,,6209.0,0.644,1.45,,3.793021659845983
Kepler-1883,,6208.0,-0.016,1.02,,3.792951708250132
KELT-4 A,,6207.0,0.563,1.6,,3.792881745385397
Kepler-544,,6206.0,0.529,1.22,,3.792811771248147
Kepler-1158,,6203.0,0.84,1.95,,3.7926017811649664
HD 5278,F V,6203.0,0.28,1.19,F,3.7926017811649664
Kepler-1982,,6202.0,0.371,1.12,,3.7925317619013077
Kepler-1249,,6202.0,0.428,1.28,,3.7925317619013077
EPIC 246851721,F5 V,6202.0,0.526,1.59,F,3.7925317619013077
Kepler-1370,,6202.0,0.458,1.29,,3.7925317619013077
TOI-4137,,6202.0,0.439,1.44,,3.7925317619013077
HR 858,F6 V,6201.0,0.371,1.31,F,3.792461731346951
CoRoT-21,F8 IV,6200.0,0.705,1.95,F,3.792391689498254
HD 110082,F8 V,6200.0,0.281,1.19,F,3.792391689498254
Kepler-1510,,6200.0,0.377,1.28,,3.792391689498254
TOI-2145,,6200.0,1.007,2.75,,3.792391689498254
HAT-P-8,F6,6200.0,0.519,1.57,F,3.792391689498254
Kepler-1717,,6200.0,0.593,1.64,,3.792391689498254
TrES-4,F8 V,6200.0,0.726,1.66,F,3.792391689498254
Kepler-1072,,6199.0,0.365,1.32,,3.7923216363515735
Kepler-1233,,6198.0,0.221,1.25,,3.792251571903264
Kepler-450,,6197.21,0.554,1.64,,3.792196212995885
Kepler-381,,6197.0,0.514,2.19,,3.792181496149679
DMPP-1,F8 V,6196.0,0.32,1.26,F,3.7921114090871684
Kepler-1396,,6195.0,0.204,1.27,,3.792041310712082
Kepler-584,,6195.0,0.52,1.24,,3.792041310712082
Kepler-1422,,6194.0,0.447,1.23,,3.791971201020768
Kepler-887,,6194.0,0.446,1.29,,3.791971201020768
Kepler-1169,,6191.0,0.262,1.23,,3.791760804012905
