pl_name,hostname,ra,dec,planet_mass_earth,planet_radius_earth,orbital_period_days,equilibrium_temp_k,discoverymethod,disc_year,stellar_type,distance_parsecs
Kepler-1090 c,Kepler-1090,295.663,44.526,10.900,3.293,42.43,496,Transit,2021,,858.77
Kepler-1405 b,Kepler-1405,295.685,39.256,14.900,3.960,28.23,565,Transit,2016,,1530.30
Kepler-528 b,Kepler-528,295.685,47.748,4.980,2.080,19.78,708,Transit,2016,,784.23
Kepler-1490 b,Kepler-1490,295.694,42.609,9.480,3.040,92.44,348,Transit,2016,,862.92
Kepler-379 b,Kepler-379,295.701,38.946,3.390,1.660,20.10,775,Transit,2014,,731.27
Kepler-379 c,Kepler-379,295.701,38.946,5.860,2.290,62.79,530,Transit,2014,,731.27
Kepler-1353 b,Kepler-1353,295.735,42.576,3.890,1.800,24.75,491,Transit,2016,,593.38
WASP-67 b,WASP-67,295.744,-19.950,136.667,12.890,4.61,1003,Transit,2012,,189.47
Kepler-1006 b,Kepler-1006,295.754,42.537,2.990,1.540,19.76,791,Transit,2016,,1081.74
Kepler-292 b,Kepler-292,295.766,42.424,2.300,1.320,2.58,1130,Transit,2014,,1056.48
Kepler-292 c,Kepler-292,295.766,42.424,2.760,1.470,3.72,1001,Transit,2014,,1056.48
Kepler-292 d,Kepler-292,295.766,42.424,5.600,2.230,7.06,808,Transit,2014,,1056.48
Kepler-292 e,Kepler-292,295.766,42.424,7.610,2.670,11.98,678,Transit,2014,,1056.48
Kepler-292 f,Kepler-292,295.766,42.424,6.120,2.350,20.83,563,Transit,2014,,1056.48
Kepler-308 b,Kepler-308,295.785,40.440,5.140,2.120,9.70,833,Transit,2014,,1335.92
Kepler-308 c,Kepler-308,295.785,40.440,5.310,2.160,15.38,714,Transit,2014,,1335.92
Kepler-1551 b,Kepler-1551,295.786,39.908,7.560,2.660,24.50,722,Transit,2016,,1463.72
Kepler-1785 b,Kepler-1785,295.792,47.600,7.770,2.704,19.59,666,Transit,2021,,745.74
Kepler-879 b,Kepler-879,295.807,50.910,7.130,2.570,33.39,580,Transit,2016,G,802.67
Kepler-879 c,Kepler-879,295.807,50.910,0.036,0.400,0.65,,Transit,2024,G,802.67
Kepler-328 b,Kepler-328,295.809,40.008,28.500,2.300,34.92,602,Transit,2013,,2213.19
Kepler-328 c,Kepler-328,295.809,40.008,39.400,5.400,71.31,475,Transit,2013,,2213.19
Kepler-232 b,Kepler-232,295.816,51.122,9.690,3.080,4.43,1104,Transit,2014,,1349.13
Kepler-232 c,Kepler-232,295.816,51.122,14.000,3.830,11.38,806,Transit,2014,,1349.13
Kepler-1315 b,Kepler-1315,295.822,46.053,2.480,1.380,0.84,1541,Transit,2016,,480.87
Kepler-1315 c,Kepler-1315,295.822,46.053,4.060,1.844,6.57,777,Transit,2021,,480.87
Kepler-1987 b,Kepler-1987,295.825,42.943,2.040,1.230,2.35,997,Transit,2023,,595.68
Kepler-1987 c,Kepler-1987,295.825,42.943,2.330,1.330,3.65,860,Transit,2023,,595.68
Kepler-1987 d,Kepler-1987,295.825,42.943,7.560,2.660,5.65,744,Transit,2023,,595.68
Kepler-1987 e,Kepler-1987,295.825,42.943,4.350,1.920,8.74,643,Transit,2023,,595.68
Kepler-972 b,Kepler-972,295.829,43.425,19.500,4.650,7.04,1060,Transit,2016,,1198.03
Kepler-1861 b,Kepler-1861,295.847,49.936,5.500,2.207,40.03,617,Transit,2021,,829.99
Kepler-954 b,Kepler-954,295.859,47.940,5.990,2.320,16.78,545,Transit,2016,,215.81
Kepler-1180 b,Kepler-1180,295.887,43.156,4.620,1.990,16.86,765,Transit,2016,,1596.80
Kepler-397 b,Kepler-397,295.894,42.381,6.620,2.460,22.25,539,Transit,2014,,969.00
Kepler-397 c,Kepler-397,295.894,42.381,31.600,6.180,135.50,295,Transit,2014,,969.00
Kepler-1610 b,Kepler-1610,295.905,45.405,3.220,1.610,8.70,750,Transit,2016,,864.33
